Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,1,-0.00260,-0.0026,0.21,0.39
0,2,-0.00201,-0.0046,0.21,0.39
0,3,0.00098,-0.0036,0.21,0.39
0,4,0.00201,-0.0016,0.21,0.39
0,5,0.00270,0.0011,0.21,0.39
0,6,0.00246,0.0035,0.34,0.81
0,7,0.00298,0.0065,0.34,0.81
0,8,0.00293,0.0094,0.34,0.81
0,9,0.00281,0.0123,0.34,0.81
0,10,0.00280,0.0151,0.34,0.81
0,11,0.00158,0.0166,-0.09,0.03
0,12,0.00129,0.0179,-0.09,0.03
0,13,-0.00020,0.0177,-0.09,0.03
0,14,-0.00120,0.0165,-0.09,0.03
0,15,-0.00192,0.0146,-0.09,0.03
0,16,-0.00270,0.0119,-0.05,0.05
0,17,-0.00337,0.0085,-0.05,0.05
0,18,-0.00378,0.0047,-0.05,0.05
0,19,-0.00378,0.0010,-0.05,0.05
0,20,-0.00378,-0.0028,-0.05,0.05
0,21,-0.00418,-0.0070,0.30,0.00
0,22,-0.00229,-0.0093,0.30,0.00
0,23,-0.00081,-0.0101,0.30,0.00
0,24,0.00068,-0.0094,0.30,0.00
0,25,0.00168,-0.0077,0.30,0.00
0,26,0.00181,-0.0059,-0.18,0.15
0,27,0.00096,-0.0049,-0.18,0.15
0,28,-0.00050,-0.0054,-0.18,0.15
0,29,-0.00201,-0.0075,-0.18,0.15
0,30,-0.00349,-0.0110,-0.18,0.15
0,31,-0.00539,-0.0163,0.20,0.17
0,32,-0.00349,-0.0198,0.20,0.17
0,33,-0.00201,-0.0218,0.20,0.17
0,34,-0.00052,-0.0224,0.20,0.17
0,35,0.00098,-0.0214,0.20,0.17
0,36,0.00186,-0.0195,0.35,0.00
0,37,0.00295,-0.0166,0.35,0.00
0,38,0.00294,-0.0136,0.35,0.00
0,39,0.00296,-0.0107,0.35,0.00
0,40,0.00294,-0.0077,0.35,0.00
0,41,0.00226,-0.0055,0.56,0.48
0,42,0.00292,-0.0025,0.56,0.48
0,43,0.00356,0.0010,0.56,0.48
0,44,0.00356,0.0046,0.56,0.48
0,45,0.00355,0.0081,0.56,0.48
0,46,0.00271,0.0108,0.01,0.79
0,47,0.00207,0.0129,0.01,0.79
0,48,0.00062,0.0135,0.01,0.79
0,49,-0.00014,0.0134,0.01,0.79
0,50,-0.00092,0.0125,0.01,0.79
0,51,-0.00194,0.0105,0.17,0.89
0,52,-0.00072,0.0098,0.17,0.89
0,53,-0.00003,0.0098,0.17,0.89
0,54,0.00033,0.0101,0.17,0.89
0,55,0.00031,0.0104,0.17,0.89
0,56,-0.00110,0.0093,-0.03,-0.31
0,57,0.00036,0.0096,-0.03,-0.31
0,58,0.00041,0.0101,-0.03,-0.31
0,59,0.00048,0.0105,-0.03,-0.31
0,60,0.00054,0.0111,-0.03,-0.31
0,61,-0.00045,0.0106,0.41,0.05
0,62,0.00166,0.0123,0.41,0.05
0,63,0.00235,0.0146,0.41,0.05
0,64,0.00286,0.0175,0.41,0.05
0,65,0.00287,0.0204,0.41,0.05
0,66,0.00206,0.0224,0.07,-0.41
0,67,0.00178,0.0242,0.07,-0.41
0,68,0.00108,0.0253,0.07,-0.41
0,69,0.00038,0.0257,0.07,-0.41
0,70,-0.00032,0.0253,0.07,-0.41
0,71,-0.00126,0.0241,0.26,-0.36
0,72,0.00044,0.0245,0.26,-0.36
0,73,0.00191,0.0264,0.26,-0.36
0,74,0.00274,0.0292,0.26,-0.36
0,75,0.00329,0.0325,0.26,-0.36
0,76,0.00267,0.0351,0.48,-0.76
0,77,0.00335,0.0385,0.48,-0.76
0,78,0.00311,0.0416,0.48,-0.76
0,79,0.00287,0.0445,0.48,-0.76
0,80,0.00287,0.0473,0.48,-0.76
0,81,0.00263,0.0500,0.32,-0.66
0,82,0.00329,0.0533,0.32,-0.66
0,83,0.00401,0.0573,0.32,-0.66
0,84,0.00425,0.0615,0.32,-0.66
0,85,0.00425,0.0658,0.32,-0.66
0,86,0.00353,0.0693,0.34,0.04
0,87,0.00420,0.0735,0.34,0.04
0,88,0.00353,0.0770,0.34,0.04
0,89,0.00292,0.0799,0.34,0.04
0,90,0.00288,0.0828,0.34,0.04
0,91,0.00235,0.0852,0.76,-0.08
0,92,0.00292,0.0881,0.76,-0.08
0,93,0.00292,0.0910,0.76,-0.08
0,94,0.00294,0.0940,0.76,-0.08
0,95,0.00296,0.0969,0.76,-0.08
0,96,0.00196,0.0989,0.19,-0.49
0,97,0.00286,0.1017,0.19,-0.49
0,98,0.00213,0.1039,0.19,-0.49
0,99,0.00143,0.1053,0.19,-0.49
0,100,0.00142,0.1067,0.19,-0.49
0,101,0.00104,0.1078,0.48,-0.56
0,102,0.00290,0.1107,0.48,-0.56
0,103,0.00370,0.1143,0.48,-0.56
0,104,0.00395,0.1183,0.48,-0.56
0,105,0.00396,0.1223,0.48,-0.56
0,106,0.00325,0.1255,0.61,0.00
0,107,0.00389,0.1294,0.61,0.00
0,108,0.00313,0.1325,0.61,0.00
0,109,0.00295,0.1355,0.61,0.00
0,110,0.00295,0.1384,0.61,0.00
0,111,0.00293,0.1414,0.60,-0.01
0,112,0.00295,0.1443,0.60,-0.01
0,113,0.00295,0.1473,0.60,-0.01
0,114,0.00295,0.1502,0.60,-0.01
0,115,0.00295,0.1532,0.60,-0.01
0,116,0.00251,0.1557,0.74,-0.30
0,117,0.00303,0.1587,0.74,-0.30
0,118,0.00316,0.1619,0.74,-0.30
0,119,0.00316,0.1650,0.74,-0.30
0,120,0.00316,0.1682,0.74,-0.30
0,121,0.00238,0.1706,1.00,0.21
0,122,0.00312,0.1737,1.00,0.21
0,123,0.00297,0.1767,1.00,0.21
0,124,0.00292,0.1796,1.00,0.21
0,125,0.00292,0.1825,1.00,0.21
0,126,0.00142,0.1839,0.64,-0.92
0,127,0.00296,0.1869,0.64,-0.92
0,128,0.00300,0.1899,0.64,-0.92
0,129,0.00305,0.1930,0.64,-0.92
0,130,0.00309,0.1960,0.64,-0.92
0,131,0.00277,0.1988,0.53,-0.43
0,132,0.00333,0.2021,0.53,-0.43
0,133,0.00332,0.2055,0.53,-0.43
0,134,0.00356,0.2090,0.53,-0.43
0,135,0.00356,0.2126,0.53,-0.43
0,136,0.00339,0.2160,0.45,-0.34
0,137,0.00327,0.2192,0.45,-0.34
0,138,0.00327,0.2225,0.45,-0.34
0,139,0.00327,0.2258,0.45,-0.34
0,140,0.00327,0.2291,0.45,-0.34
0,141,0.00238,0.2314,0.65,0.36
0,142,0.00323,0.2347,0.65,0.36
0,143,0.00321,0.2379,0.65,0.36
0,144,0.00325,0.2411,0.65,0.36
0,145,0.00325,0.2444,0.65,0.36
0,146,0.00232,0.2467,0.39,-0.31
0,147,0.00328,0.2500,0.39,-0.31
0,148,0.00332,0.2533,0.39,-0.31
0,149,0.00319,0.2565,0.39,-0.31
0,150,0.00319,0.2597,0.39,-0.31
0,151,0.00272,0.2624,0.73,-0.19
0,152,0.00300,0.2654,0.73,-0.19
0,153,0.00299,0.2684,0.73,-0.19
0,154,0.00300,0.2714,0.73,-0.19
0,155,0.00300,0.2744,0.73,-0.19
